nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
534738794,2026-04-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-17,814,56,3,134181,3,134181,0,0,7,5,100,28,RUB
539825996,2026-04-17,324,18,1,57642,1,57642,0,0,6,6,100,4,RUB
539838210,2026-04-17,51,0,0,0,0,0,0,0,0,0,0,2,RUB
548929114,2026-04-17,59,0,0,0,0,0,0,0,0,0,0,2,RUB
566938282,2026-04-17,23,4,0,0,0,0,0,0,17,0,0,2,RUB
566954273,2026-04-17,13,0,0,0,0,0,0,0,0,0,0,0,RUB
614130568,2026-04-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-17,973,128,15,241790,13,209547,1,16119,13,12,93,47,RUB
807108695,2026-04-17,23,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-17,157,15,3,99600,1,33200,0,0,10,20,100,1,RUB
846223764,2026-04-17,869,119,10,107525,6,64400,1,10925,14,8,86,25,RUB
846223785,2026-04-17,861,95,9,135876,8,120603,0,0,11,9,100,32,RUB
846223804,2026-04-17,591,64,5,91910,2,36360,0,0,11,8,100,21,RUB
859094794,2026-04-17,185,10,0,0,0,0,0,0,5,0,0,3,RUB
859100406,2026-04-17,1064,151,16,548800,6,205800,1,34300,14,11,86,34,RUB
859105127,2026-04-17,261,31,1,33500,0,0,0,0,12,3,0,6,RUB
859126078,2026-04-17,194,3,1,76000,0,0,0,0,2,33,0,1,RUB
876408553,2026-04-17,199,19,1,34501,0,0,0,0,10,5,0,5,RUB
879041649,2026-04-17,448,45,2,68600,1,34300,0,0,10,4,100,13,RUB
879041650,2026-04-17,355,14,0,0,0,0,0,0,4,0,0,2,RUB
969101147,2026-04-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-04-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969264497,2026-04-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-04-17,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-04-17,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-18,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-18,828,102,2,82712,2,82712,0,0,12,2,100,25,RUB
270764754,2026-04-18,204,10,0,0,0,0,0,0,5,0,0,3,RUB
284082008,2026-04-18,73,4,0,0,0,0,0,0,5,0,0,1,RUB
293965031,2026-04-18,90,5,0,0,0,0,0,0,6,0,0,1,RUB
293986771,2026-04-18,355,22,4,168800,3,126600,0,0,6,18,100,6,RUB
320770642,2026-04-18,27,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-18,97,8,2,81900,1,40950,0,0,8,25,100,1,RUB
390144767,2026-04-18,11,0,0,0,0,0,0,0,0,0,0,0,RUB
473439818,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-18,25,2,0,0,0,0,0,0,8,0,0,1,RUB
490317491,2026-04-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-18,178,19,1,61350,1,61350,0,0,11,5,100,9,RUB
523358338,2026-04-18,156,7,0,0,0,0,0,0,4,0,0,2,RUB
523358339,2026-04-18,158,9,0,0,0,0,0,0,6,0,0,2,RUB
534738794,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-18,840,58,3,134181,1,44727,0,0,7,5,100,23,RUB
539825996,2026-04-18,397,22,0,0,0,0,0,0,6,0,0,9,RUB
539838210,2026-04-18,42,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-18,43,1,0,0,0,0,0,0,2,0,0,0,RUB
566938282,2026-04-18,39,1,1,81000,0,0,0,0,3,100,0,0,RUB
566954273,2026-04-18,6,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-18,971,157,20,322380,14,225666,0,0,16,13,100,36,RUB
807108695,2026-04-18,19,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-18,172,16,2,66400,2,66400,0,0,9,13,100,1,RUB
846223764,2026-04-18,698,81,42,472865,36,405779,0,0,12,52,100,21,RUB
846223785,2026-04-18,934,89,15,232253,11,170898,0,0,10,17,100,25,RUB
846223804,2026-04-18,513,43,2,39390,0,0,0,0,8,5,0,15,RUB
859094794,2026-04-18,232,18,0,0,0,0,0,0,8,0,0,2,RUB
859100406,2026-04-18,1301,157,8,274400,5,171500,0,0,12,5,100,32,RUB
859105127,2026-04-18,194,21,0,0,0,0,0,0,11,0,0,5,RUB
859126078,2026-04-18,244,8,0,0,0,0,0,0,3,0,0,1,RUB
876408553,2026-04-18,232,32,5,172505,3,103503,0,0,14,16,100,8,RUB
879041649,2026-04-18,551,31,3,102900,2,68600,0,0,6,10,100,8,RUB
879041650,2026-04-18,419,27,0,0,0,0,0,0,6,0,0,6,RUB
969264497,2026-04-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-04-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-04-19,1,1,0,0,0,0,0,0,100,0,0,0,RUB
256267836,2026-04-19,14,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-04-19,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-19,643,51,3,122802,1,40934,0,0,8,6,100,22,RUB
270764754,2026-04-19,137,7,0,0,0,0,0,0,5,0,0,4,RUB
284082008,2026-04-19,78,3,0,0,0,0,0,0,4,0,0,1,RUB
293965031,2026-04-19,113,5,0,0,0,0,0,0,4,0,0,1,RUB
293981294,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-19,403,17,2,84400,0,0,0,0,4,12,0,7,RUB
320770642,2026-04-19,20,0,0,0,0,0,0,0,0,0,0,2,RUB
390144701,2026-04-19,112,2,0,0,0,0,0,0,2,0,0,0,RUB
390144767,2026-04-19,16,0,0,0,0,0,0,0,0,0,0,1,RUB
473709751,2026-04-19,49,2,0,0,0,0,0,0,4,0,0,3,RUB
474794632,2026-04-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-19,8,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-19,194,14,0,0,0,0,0,0,7,0,0,6,RUB
523358338,2026-04-19,133,3,0,0,0,0,0,0,2,0,0,4,RUB
523358339,2026-04-19,154,3,0,0,0,0,0,0,2,0,0,3,RUB
526441058,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-19,824,54,1,43898,1,43898,0,0,7,2,100,23,RUB
539825996,2026-04-19,402,33,1,57642,0,0,0,0,8,3,0,4,RUB
539838210,2026-04-19,47,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-19,32,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-04-19,28,1,0,0,0,0,0,0,4,0,0,0,RUB
566954273,2026-04-19,12,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-19,1160,189,23,370737,9,145071,1,16119,16,12,90,49,RUB
807108695,2026-04-19,14,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-19,204,14,0,0,0,0,0,0,7,0,0,2,RUB
846223764,2026-04-19,695,77,7,79163,2,22618,0,0,11,9,100,25,RUB
846223785,2026-04-19,943,92,5,77680,1,15536,0,0,10,5,100,28,RUB
846223804,2026-04-19,463,42,1,20200,1,20200,0,0,9,2,100,23,RUB
859094794,2026-04-19,187,9,0,0,0,0,0,0,5,0,0,2,RUB
859100406,2026-04-19,1419,142,4,137200,4,137200,0,0,10,3,100,41,RUB
859105127,2026-04-19,232,21,2,67000,0,0,1,33500,9,10,0,7,RUB
859126078,2026-04-19,318,11,1,76000,1,76000,0,0,3,9,100,4,RUB
876408553,2026-04-19,340,41,3,103503,1,34501,1,34501,12,7,50,14,RUB
879041649,2026-04-19,474,31,0,0,0,0,0,0,7,0,0,8,RUB
879041650,2026-04-19,375,26,1,34300,0,0,0,0,7,4,0,5,RUB
969113476,2026-04-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-04-19,2,1,0,0,0,0,0,0,50,0,0,0,RUB
969320627,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,1,RUB
969320631,2026-04-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-20,23,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-20,736,57,3,122802,0,0,0,0,8,5,0,18,RUB
270764754,2026-04-20,182,6,0,0,0,0,0,0,3,0,0,0,RUB
284082008,2026-04-20,72,2,0,0,0,0,0,0,3,0,0,0,RUB
293965031,2026-04-20,95,3,0,0,0,0,0,0,3,0,0,2,RUB
293981294,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-20,584,31,1,42200,0,0,0,0,5,3,0,10,RUB
320770642,2026-04-20,20,0,0,0,0,0,0,0,0,0,0,1,RUB
390144022,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-20,87,1,0,0,0,0,0,0,1,0,0,0,RUB
390144767,2026-04-20,14,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-04-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-20,22,2,0,0,0,0,0,0,9,0,0,0,RUB
490317491,2026-04-20,5,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-20,91,4,0,0,0,0,0,0,4,0,0,0,RUB
523358338,2026-04-20,135,7,0,0,0,0,0,0,5,0,0,2,RUB
523358339,2026-04-20,142,12,0,0,0,0,0,0,8,0,0,0,RUB
534738794,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-20,587,38,0,0,0,0,0,0,6,0,0,19,RUB
539825996,2026-04-20,324,17,0,0,0,0,0,0,5,0,0,3,RUB
539838210,2026-04-20,33,0,0,0,0,0,0,0,0,0,0,3,RUB
548929114,2026-04-20,27,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-04-20,13,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-04-20,31,0,0,0,0,0,0,0,0,0,0,1,RUB
636124583,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-20,1054,153,18,290142,5,80595,0,0,15,12,100,39,RUB
807108695,2026-04-20,10,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-20,215,15,0,0,0,0,0,0,7,0,0,5,RUB
846223764,2026-04-20,603,72,11,124399,0,0,0,0,12,15,0,17,RUB
846223785,2026-04-20,879,106,8,124288,1,15536,0,0,12,8,100,34,RUB
846223804,2026-04-20,293,36,1,20200,0,0,0,0,12,3,0,11,RUB
859094794,2026-04-20,202,13,0,0,0,0,0,0,6,0,0,3,RUB
859100406,2026-04-20,1400,147,6,205800,1,34300,0,0,11,4,100,45,RUB
859105127,2026-04-20,191,36,2,67000,0,0,0,0,19,6,0,5,RUB
859126078,2026-04-20,264,8,0,0,0,0,0,0,3,0,0,3,RUB
876408553,2026-04-20,252,22,3,103503,0,0,0,0,9,14,0,14,RUB
879041649,2026-04-20,345,26,1,34300,0,0,0,0,8,4,0,12,RUB
879041650,2026-04-20,367,12,0,0,0,0,0,0,3,0,0,13,RUB
969113476,2026-04-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969264497,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-04-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-04-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-04-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-21,20,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-21,553,46,2,81868,0,0,0,0,8,4,0,12,RUB
270764754,2026-04-21,152,2,0,0,0,0,0,0,1,0,0,1,RUB
284082008,2026-04-21,77,2,0,0,0,0,0,0,3,0,0,1,RUB
293965031,2026-04-21,81,3,0,0,0,0,0,0,4,0,0,2,RUB
293986771,2026-04-21,168,5,1,42200,0,0,0,0,3,20,0,5,RUB
320770642,2026-04-21,20,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-21,27,1,1,40950,0,0,0,0,4,100,0,1,RUB
390144767,2026-04-21,15,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473439818,2026-04-21,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-21,24,3,1,51000,0,0,0,0,13,33,0,0,RUB
474794632,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-21,6,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-21,162,10,0,0,0,0,0,0,6,0,0,3,RUB
523358338,2026-04-21,139,7,0,0,0,0,0,0,5,0,0,2,RUB
523358339,2026-04-21,135,6,0,0,0,0,0,0,4,0,0,2,RUB
526472350,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
534708841,2026-04-21,3,0,0,0,0,0,0,0,0,0,0,0,RUB
534738794,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
535799733,2026-04-21,2,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-21,497,37,0,0,0,0,0,0,7,0,0,9,RUB
539825996,2026-04-21,282,16,2,115284,0,0,0,0,6,13,0,5,RUB
539838210,2026-04-21,40,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-21,45,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-04-21,37,1,0,0,0,0,0,0,3,0,0,0,RUB
566954273,2026-04-21,13,0,0,0,0,0,0,0,0,0,0,0,RUB
614130568,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
636124582,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-21,1073,149,26,419094,0,0,0,0,14,17,0,44,RUB
807108695,2026-04-21,7,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-21,262,23,0,0,0,0,0,0,9,0,0,7,RUB
846223764,2026-04-21,565,66,6,69000,0,0,0,0,12,9,0,22,RUB
846223785,2026-04-21,765,107,10,155360,0,0,0,0,14,9,0,33,RUB
846223804,2026-04-21,199,21,5,101000,0,0,0,0,11,24,0,2,RUB
859094794,2026-04-21,149,4,0,0,0,0,0,0,3,0,0,1,RUB
859100406,2026-04-21,1487,173,17,583100,0,0,0,0,12,10,0,46,RUB
859105127,2026-04-21,151,13,3,100500,0,0,0,0,9,23,0,2,RUB
859126078,2026-04-21,248,6,0,0,0,0,0,0,2,0,0,3,RUB
876408553,2026-04-21,206,26,2,69002,0,0,0,0,13,8,0,6,RUB
879041649,2026-04-21,405,38,3,102900,0,0,0,0,9,8,0,7,RUB
879041650,2026-04-21,264,17,0,0,0,0,0,0,6,0,0,6,RUB
969101147,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-04-21,0,1,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-22,5,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-22,82,1,0,0,0,0,0,0,1,0,0,4,RUB
270764754,2026-04-22,14,3,0,0,0,0,0,0,21,0,0,3,RUB
284082008,2026-04-22,6,1,0,0,0,0,0,0,17,0,0,0,RUB
293965031,2026-04-22,7,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-22,10,0,0,0,0,0,0,0,0,0,0,4,RUB
320770642,2026-04-22,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-22,3,1,0,0,0,0,0,0,33,0,0,0,RUB
490317491,2026-04-22,2,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-22,25,1,0,0,0,0,0,0,4,0,0,0,RUB
523358338,2026-04-22,22,1,0,0,0,0,0,0,5,0,0,0,RUB
