nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
859126078,2026-04-04,214,7,0,0,0,0,0,0,3,0,0,4,RUB
876408553,2026-04-04,131,19,0,0,0,0,0,0,15,0,0,6,RUB
879041649,2026-04-04,179,5,0,0,0,0,0,0,3,0,0,0,RUB
879041650,2026-04-04,155,3,0,0,0,0,0,0,2,0,0,1,RUB
256036969,2026-04-05,2,0,0,0,0,0,0,0,0,0,0,1,RUB
256219937,2026-04-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-05,74,6,1,44500,1,44500,0,0,8,17,100,2,RUB
256286306,2026-04-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-04-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-04-05,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-05,1059,99,1,37250,1,37250,0,0,9,1,100,21,RUB
270764754,2026-04-05,183,2,0,0,0,0,0,0,1,0,0,0,RUB
284082008,2026-04-05,95,2,0,0,0,0,0,0,2,0,0,2,RUB
293965031,2026-04-05,9,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-05,70,0,0,0,0,0,0,0,0,0,0,2,RUB
320770642,2026-04-05,98,5,1,51600,0,0,1,51600,5,20,0,2,RUB
390144022,2026-04-05,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-05,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-04-05,13,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-05,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-05,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-05,115,5,0,0,0,0,0,0,4,0,0,2,RUB
523358338,2026-04-05,208,7,0,0,0,0,0,0,3,0,0,2,RUB
523358339,2026-04-05,51,4,1,47001,1,47001,0,0,8,25,100,4,RUB
526441058,2026-04-05,0,1,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-05,1060,116,3,112500,3,112500,0,0,11,3,100,30,RUB
539825996,2026-04-05,313,19,0,0,0,0,0,0,6,0,0,5,RUB
539838210,2026-04-05,291,6,1,35000,1,35000,0,0,2,17,100,3,RUB
548929114,2026-04-05,176,17,1,50701,0,0,0,0,10,6,0,6,RUB
566938282,2026-04-05,24,2,0,0,0,0,0,0,8,0,0,0,RUB
566954273,2026-04-05,19,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-05,1075,148,17,269934,6,95268,0,0,14,11,100,33,RUB
807108695,2026-04-05,86,5,0,0,0,0,0,0,6,0,0,0,RUB
807135461,2026-04-05,172,18,0,0,0,0,0,0,10,0,0,5,RUB
846223764,2026-04-05,927,150,23,218704,15,142608,1,9584,16,15,94,42,RUB
846223785,2026-04-05,770,101,14,195384,10,139560,0,0,13,14,100,31,RUB
846223804,2026-04-05,656,90,8,136016,3,50838,1,17170,14,9,75,19,RUB
859094794,2026-04-05,220,11,0,0,0,0,0,0,5,0,0,2,RUB
859100406,2026-04-05,1436,186,9,288000,6,192000,0,0,13,5,100,48,RUB
859105127,2026-04-05,158,13,0,0,0,0,0,0,8,0,0,3,RUB
859126078,2026-04-05,277,7,0,0,0,0,0,0,3,0,0,1,RUB
876408553,2026-04-05,188,12,3,103503,0,0,0,0,6,25,0,4,RUB
879041649,2026-04-05,319,27,0,0,0,0,0,0,8,0,0,4,RUB
879041650,2026-04-05,199,11,0,0,0,0,0,0,6,0,0,4,RUB
256267836,2026-04-06,17,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-06,3,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-06,915,84,4,149000,3,111750,0,0,9,5,100,22,RUB
270764754,2026-04-06,202,6,0,0,0,0,0,0,3,0,0,1,RUB
284082008,2026-04-06,42,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-04-06,7,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-06,55,0,0,0,0,0,0,0,0,0,0,2,RUB
320770642,2026-04-06,101,3,0,0,0,0,0,0,3,0,0,5,RUB
390144022,2026-04-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-06,8,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-04-06,8,1,0,0,0,0,0,0,13,0,0,0,RUB
390144967,2026-04-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-04-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-04-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
478490332,2026-04-06,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-06,2,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-06,202,11,0,0,0,0,0,0,5,0,0,6,RUB
523358338,2026-04-06,188,3,0,0,0,0,0,0,2,0,0,2,RUB
523358339,2026-04-06,28,0,0,0,0,0,0,0,0,0,0,2,RUB
526441058,2026-04-06,0,1,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-06,877,76,5,208031,3,123516,1,45514,9,7,75,22,RUB
539825996,2026-04-06,374,23,1,56000,0,0,0,0,6,4,0,9,RUB
539838210,2026-04-06,371,9,2,70000,2,70000,0,0,2,22,100,1,RUB
548929114,2026-04-06,132,9,1,50701,1,50701,0,0,7,11,100,2,RUB
566938282,2026-04-06,35,2,0,0,0,0,0,0,6,0,0,0,RUB
566954273,2026-04-06,10,1,0,0,0,0,0,0,10,0,0,0,RUB
760090343,2026-04-06,1114,216,22,349316,14,222292,0,0,19,10,100,44,RUB
807108695,2026-04-06,96,3,0,0,0,0,0,0,3,0,0,1,RUB
807135461,2026-04-06,129,10,0,0,0,0,0,0,8,0,0,3,RUB
846223764,2026-04-06,791,118,9,87402,5,48493,0,0,15,8,100,37,RUB
846223785,2026-04-06,711,98,8,111648,3,41868,0,0,14,8,100,22,RUB
846223804,2026-04-06,508,61,5,85850,1,17170,0,0,12,8,100,25,RUB
859094794,2026-04-06,210,9,0,0,0,0,0,0,4,0,0,2,RUB
859100406,2026-04-06,1232,145,11,352000,5,160000,2,64000,12,8,71,38,RUB
859105127,2026-04-06,164,21,0,0,0,0,0,0,13,0,0,6,RUB
859126078,2026-04-06,241,6,0,0,0,0,0,0,2,0,0,4,RUB
876408553,2026-04-06,157,16,0,0,0,0,0,0,10,0,0,11,RUB
879041649,2026-04-06,299,8,0,0,0,0,0,0,3,0,0,2,RUB
879041650,2026-04-06,286,9,1,34300,0,0,1,34300,3,11,0,3,RUB
256036969,2026-04-07,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-07,20,0,0,0,0,0,0,0,0,0,0,2,RUB
256286306,2026-04-07,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256598609,2026-04-07,2,0,0,0,0,0,0,0,0,0,0,0,RUB
