nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
969320633,2026-05-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-05-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-05-14,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-14,177,18,2,18000,2,18000,0,0,10,11,100,2,RUB
999069062,2026-05-14,94,14,4,36000,4,36000,0,0,15,29,100,2,RUB
1011335071,2026-05-14,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-15,15,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-15,161,19,9,283500,1,31500,0,0,12,47,100,4,RUB
264722623,2026-05-15,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-15,658,51,1,41200,1,41200,0,0,8,2,100,18,RUB
270764754,2026-05-15,127,3,0,0,0,0,0,0,2,0,0,2,RUB
284082008,2026-05-15,31,2,0,0,0,0,0,0,6,0,0,0,RUB
293965031,2026-05-15,3,1,0,0,0,0,0,0,33,0,0,0,RUB
293986771,2026-05-15,11,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-05-15,11,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-15,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-15,5,0,0,0,0,0,0,0,0,0,0,0,RUB
458510866,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-15,7,0,0,0,0,0,0,0,0,0,0,0,RUB
474794632,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
478403016,2026-05-15,4,0,0,0,0,0,0,0,0,0,0,0,RUB
479841995,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
481503841,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-15,2,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-15,143,12,1,59001,1,59001,0,0,8,8,100,3,RUB
523358338,2026-05-15,169,2,0,0,0,0,0,0,1,0,0,0,RUB
523358339,2026-05-15,128,8,0,0,0,0,0,0,6,0,0,1,RUB
530096915,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
534738794,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
535799733,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-15,770,47,3,127500,3,127500,0,0,6,6,100,16,RUB
539825996,2026-05-15,480,30,4,225600,3,169200,1,56400,6,13,75,9,RUB
539838210,2026-05-15,47,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-15,15,1,0,0,0,0,0,0,7,0,0,0,RUB
551363945,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-15,42,2,0,0,0,0,0,0,5,0,0,2,RUB
566954273,2026-05-15,3,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-15,618,99,13,168403,11,142661,0,0,16,13,100,24,RUB
807108695,2026-05-15,8,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-15,93,9,0,0,0,0,0,0,10,0,0,2,RUB
846223764,2026-05-15,178,27,9,81072,3,27024,1,9008,15,33,75,8,RUB
846223785,2026-05-15,376,36,2,24754,2,24754,0,0,10,6,100,13,RUB
846223804,2026-05-15,56,7,2,33668,1,16834,0,0,13,29,100,1,RUB
859094794,2026-05-15,146,14,0,0,0,0,0,0,10,0,0,1,RUB
859100406,2026-05-15,653,61,4,137200,2,68600,1,34300,9,7,67,26,RUB
859105127,2026-05-15,140,14,2,66000,2,66000,0,0,10,14,100,6,RUB
859126078,2026-05-15,153,12,0,0,0,0,0,0,8,0,0,6,RUB
876408553,2026-05-15,5,0,0,0,0,0,0,0,0,0,0,1,RUB
879041649,2026-05-15,626,44,3,103500,3,103500,0,0,7,7,100,19,RUB
879041650,2026-05-15,681,67,9,292509,8,260008,1,32501,10,13,89,20,RUB
969101147,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969264497,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-15,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-15,205,19,3,27000,3,27000,0,0,9,16,100,4,RUB
999069062,2026-05-15,48,10,3,27000,2,18000,1,9000,21,30,67,0,RUB
256036969,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-16,9,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-16,98,9,1,31500,1,31500,0,0,9,11,100,1,RUB
256592226,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256593867,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-16,730,59,4,164800,4,164800,0,0,8,7,100,10,RUB
270764754,2026-05-16,144,9,0,0,0,0,0,0,6,0,0,3,RUB
284082008,2026-05-16,24,1,0,0,0,0,0,0,4,0,0,1,RUB
293965031,2026-05-16,4,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-16,44,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-16,6,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-16,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-16,4,0,0,0,0,0,0,0,0,0,0,1,RUB
390144767,2026-05-16,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-16,3,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-16,14,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-16,116,7,1,59001,1,59001,0,0,6,14,100,6,RUB
523358338,2026-05-16,150,9,0,0,0,0,0,0,6,0,0,2,RUB
523358339,2026-05-16,114,7,0,0,0,0,0,0,6,0,0,2,RUB
539825994,2026-05-16,650,39,4,170000,4,170000,0,0,6,10,100,12,RUB
539825996,2026-05-16,375,28,1,56400,1,56400,0,0,7,4,100,7,RUB
539838210,2026-05-16,38,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-16,18,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-16,42,5,1,81001,1,81001,0,0,12,20,100,1,RUB
566954273,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-16,504,83,10,129910,7,90937,1,12991,16,12,88,18,RUB
807108695,2026-05-16,5,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-16,57,5,0,0,0,0,0,0,9,0,0,1,RUB
846223764,2026-05-16,215,40,7,63056,7,63056,0,0,19,18,100,8,RUB
846223785,2026-05-16,344,39,6,74262,4,49508,0,0,11,15,100,9,RUB
846223804,2026-05-16,39,3,0,0,0,0,0,0,8,0,0,0,RUB
859094794,2026-05-16,186,10,0,0,0,0,0,0,5,0,0,0,RUB
859100406,2026-05-16,627,68,1,34300,0,0,0,0,11,1,0,15,RUB
859105127,2026-05-16,114,4,0,0,0,0,0,0,4,0,0,2,RUB
859126078,2026-05-16,202,18,1,74001,1,74001,0,0,9,6,100,8,RUB
876408553,2026-05-16,59,5,0,0,0,0,0,0,8,0,0,4,RUB
879041649,2026-05-16,601,63,1,34500,1,34500,0,0,10,2,100,13,RUB
879041650,2026-05-16,670,73,6,199006,4,132004,1,33501,11,8,80,18,RUB
969101147,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969113476,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969264497,2026-05-16,3,1,0,0,0,0,0,0,33,0,0,0,RUB
969320622,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-05-16,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320625,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-05-16,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320631,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320632,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-05-16,1,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-16,169,13,3,27000,2,18000,0,0,8,23,100,2,RUB
999069062,2026-05-16,80,7,3,27000,3,27000,0,0,9,43,100,1,RUB
256267836,2026-05-17,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-17,89,11,1,31500,0,0,0,0,12,9,0,5,RUB
256592226,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-17,516,51,0,0,0,0,0,0,10,0,0,23,RUB
270764754,2026-05-17,157,5,0,0,0,0,0,0,3,0,0,3,RUB
284082008,2026-05-17,45,5,0,0,0,0,0,0,11,0,0,1,RUB
293965031,2026-05-17,7,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-05-17,2,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-17,26,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-17,10,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-17,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-17,3,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-17,8,0,0,0,0,0,0,0,0,0,0,0,RUB
481451593,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
481503841,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
482093243,2026-05-17,2,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-17,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-17,129,13,1,59001,0,0,0,0,10,8,0,1,RUB
523358338,2026-05-17,144,6,0,0,0,0,0,0,4,0,0,1,RUB
523358339,2026-05-17,118,6,2,94000,1,47000,0,0,5,33,100,6,RUB
528993929,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
530096915,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
535799733,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-17,715,77,3,127500,2,85000,0,0,11,4,100,11,RUB
539825996,2026-05-17,463,26,1,56400,1,56400,0,0,6,4,100,10,RUB
539838210,2026-05-17,50,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-17,19,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-05-17,37,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-05-17,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-17,589,89,13,168883,6,77946,0,0,15,15,100,26,RUB
807108695,2026-05-17,7,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-17,76,5,0,0,0,0,0,0,7,0,0,1,RUB
846223764,2026-05-17,259,38,9,81072,8,72064,1,9008,15,24,89,13,RUB
846223785,2026-05-17,376,47,4,49508,3,37131,0,0,13,9,100,8,RUB
846223804,2026-05-17,44,4,1,16834,0,0,0,0,9,25,0,0,RUB
859094794,2026-05-17,180,5,1,40500,1,40500,0,0,3,20,100,3,RUB
859100406,2026-05-17,602,66,5,171500,2,68600,0,0,11,8,100,15,RUB
859105127,2026-05-17,132,42,0,0,0,0,0,0,32,0,0,4,RUB
859126078,2026-05-17,178,11,0,0,0,0,0,0,6,0,0,7,RUB
876408553,2026-05-17,68,4,0,0,0,0,0,0,6,0,0,2,RUB
879041649,2026-05-17,619,75,2,69000,2,69000,0,0,12,3,100,15,RUB
879041650,2026-05-17,759,81,3,100503,1,33501,0,0,11,4,100,17,RUB
969101147,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-05-17,2,1,0,0,0,0,0,0,50,0,0,0,RUB
969320633,2026-05-17,2,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-17,44,4,0,0,0,0,0,0,9,0,0,0,RUB
999069062,2026-05-17,58,9,2,18000,0,0,0,0,16,22,0,0,RUB
1011335069,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-18,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-18,133,14,1,31500,1,31500,0,0,11,7,100,5,RUB
256302010,2026-05-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256609438,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-18,651,54,3,123600,1,41200,0,0,8,6,100,21,RUB
270764754,2026-05-18,167,19,1,35001,0,0,0,0,11,5,0,3,RUB
284082008,2026-05-18,22,1,0,0,0,0,0,0,5,0,0,0,RUB
293965031,2026-05-18,7,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-18,34,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-05-18,10,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
478011257,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-18,92,14,0,0,0,0,0,0,15,0,0,4,RUB
523358338,2026-05-18,170,4,1,68000,1,68000,0,0,2,25,100,1,RUB
523358339,2026-05-18,114,19,1,47000,1,47000,0,0,17,5,100,2,RUB
539825994,2026-05-18,684,74,4,170000,3,127500,0,0,11,5,100,27,RUB
539825996,2026-05-18,379,18,0,0,0,0,0,0,5,0,0,7,RUB
539838210,2026-05-18,37,0,0,0,0,0,0,0,0,0,0,1,RUB
548929114,2026-05-18,23,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-05-18,33,3,0,0,0,0,0,0,9,0,0,1,RUB
566954273,2026-05-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-18,678,100,14,181874,6,77946,1,12991,15,14,86,27,RUB
807108695,2026-05-18,9,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-18,64,5,0,0,0,0,0,0,8,0,0,5,RUB
846223764,2026-05-18,238,31,4,36032,1,9008,2,18016,13,13,33,7,RUB
846223785,2026-05-18,387,49,7,86639,4,49508,1,12377,13,14,80,17,RUB
846223804,2026-05-18,45,7,0,0,0,0,0,0,16,0,0,1,RUB
859094794,2026-05-18,159,78,0,0,0,0,0,0,49,0,0,2,RUB
859100406,2026-05-18,654,54,0,0,0,0,0,0,8,0,0,22,RUB
859105127,2026-05-18,120,16,1,33000,1,33000,0,0,13,6,100,3,RUB
859126078,2026-05-18,189,9,0,0,0,0,0,0,5,0,0,2,RUB
876408553,2026-05-18,53,8,2,69002,2,69002,0,0,15,25,100,3,RUB
879041649,2026-05-18,508,36,5,172500,3,103500,0,0,7,14,100,22,RUB
879041650,2026-05-18,635,77,5,167505,2,67002,0,0,12,6,100,16,RUB
969264497,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-05-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-18,5,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-05-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-18,206,22,1,9000,0,0,0,0,11,5,0,3,RUB
999069062,2026-05-18,200,18,2,18000,1,9000,0,0,9,11,100,5,RUB
1044992327,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-19,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-19,73,11,2,63000,0,0,0,0,15,18,0,1,RUB
256302010,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256593867,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-19,699,51,2,82400,0,0,0,0,7,4,0,18,RUB
270764754,2026-05-19,164,10,0,0,0,0,0,0,6,0,0,2,RUB
284082008,2026-05-19,23,2,0,0,0,0,0,0,9,0,0,2,RUB
293965031,2026-05-19,8,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-19,37,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-19,11,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-05-19,7,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-19,93,8,0,0,0,0,0,0,9,0,0,1,RUB
523358338,2026-05-19,168,5,0,0,0,0,0,0,3,0,0,5,RUB
523358339,2026-05-19,116,6,1,47000,0,0,0,0,5,17,0,2,RUB
530096915,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-19,659,52,3,127500,1,42500,0,0,8,6,100,13,RUB
539825996,2026-05-19,354,18,0,0,0,0,0,0,5,0,0,6,RUB
539838210,2026-05-19,51,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-19,12,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-19,31,6,0,0,0,0,0,0,19,0,0,0,RUB
566954273,2026-05-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-19,796,139,14,181874,3,38973,0,0,17,10,100,38,RUB
807108695,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-19,69,6,2,63002,0,0,0,0,9,33,0,2,RUB
846223764,2026-05-19,313,47,10,91040,0,0,0,0,15,21,0,8,RUB
846223785,2026-05-19,411,47,5,61885,0,0,0,0,11,11,0,13,RUB
846223804,2026-05-19,43,5,0,0,0,0,0,0,12,0,0,0,RUB
859094794,2026-05-19,143,4,0,0,0,0,0,0,3,0,0,0,RUB
859100406,2026-05-19,630,77,6,205800,4,137200,0,0,12,8,100,13,RUB
859105127,2026-05-19,109,5,0,0,0,0,0,0,5,0,0,1,RUB
859126078,2026-05-19,198,15,0,0,0,0,0,0,8,0,0,5,RUB
876408553,2026-05-19,7,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-05-19,517,41,3,104501,0,0,0,0,8,7,0,9,RUB
879041650,2026-05-19,649,54,2,67502,1,33501,0,0,8,4,100,6,RUB
969101147,2026-05-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-19,5,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-19,275,40,2,15780,0,0,0,0,15,5,0,11,RUB
999069062,2026-05-19,292,31,8,72000,1,9000,0,0,11,26,100,9,RUB
1011335071,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-20,7,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-20,106,14,5,157500,0,0,0,0,13,36,0,3,RUB
256302010,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-20,608,60,4,164800,0,0,0,0,10,7,0,16,RUB
270764754,2026-05-20,119,2,0,0,0,0,0,0,2,0,0,2,RUB
284082008,2026-05-20,23,1,0,0,0,0,0,0,4,0,0,3,RUB
293965031,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,1,RUB
293986771,2026-05-20,30,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-20,7,0,0,0,0,0,0,0,0,0,0,1,RUB
390144967,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473439818,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-20,82,7,1,59001,0,0,0,0,9,14,0,2,RUB
523358338,2026-05-20,127,4,0,0,0,0,0,0,3,0,0,1,RUB
523358339,2026-05-20,144,5,0,0,0,0,0,0,3,0,0,1,RUB
539825994,2026-05-20,666,51,5,212500,0,0,1,42500,8,10,0,13,RUB
539825996,2026-05-20,358,19,2,112800,0,0,0,0,5,11,0,10,RUB
539838210,2026-05-20,40,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-20,9,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-20,33,3,0,0,0,0,0,0,9,0,0,0,RUB
566954273,2026-05-20,6,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-20,685,114,18,233838,0,0,0,0,17,16,0,36,RUB
807135461,2026-05-20,85,4,0,0,0,0,0,0,5,0,0,3,RUB
846223764,2026-05-20,267,37,6,55200,0,0,0,0,14,16,0,8,RUB
846223785,2026-05-20,375,57,10,123770,0,0,0,0,15,18,0,15,RUB
846223804,2026-05-20,99,13,0,0,0,0,0,0,13,0,0,1,RUB
859094794,2026-05-20,97,5,0,0,0,0,0,0,5,0,0,0,RUB
