nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
293965031,2026-04-21,81,3,0,0,0,0,0,0,4,0,0,2,RUB
293986771,2026-04-21,168,5,1,42200,1,42200,0,0,3,20,100,5,RUB
320770642,2026-04-21,20,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-21,27,1,1,40950,0,0,0,0,4,100,0,1,RUB
390144767,2026-04-21,15,0,0,0,0,0,0,0,0,0,0,0,RUB
444548787,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473439818,2026-04-21,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-04-21,24,3,1,51000,1,51000,0,0,13,33,100,0,RUB
474794632,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-04-21,6,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-21,162,10,0,0,0,0,0,0,6,0,0,3,RUB
523358338,2026-04-21,139,7,0,0,0,0,0,0,5,0,0,2,RUB
523358339,2026-04-21,136,6,0,0,0,0,0,0,4,0,0,2,RUB
526472350,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
534708841,2026-04-21,3,0,0,0,0,0,0,0,0,0,0,0,RUB
534738794,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
535799733,2026-04-21,2,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-21,498,37,0,0,0,0,0,0,7,0,0,9,RUB
539825996,2026-04-21,282,16,2,115284,2,115284,0,0,6,13,100,5,RUB
539838210,2026-04-21,40,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-21,45,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-04-21,37,1,0,0,0,0,0,0,3,0,0,0,RUB
566954273,2026-04-21,13,0,0,0,0,0,0,0,0,0,0,0,RUB
614130568,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
636124582,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-21,1073,149,26,419094,9,145071,0,0,14,17,100,44,RUB
807108695,2026-04-21,7,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-21,262,23,0,0,0,0,0,0,9,0,0,7,RUB
846223764,2026-04-21,565,66,6,69000,2,23000,0,0,12,9,100,22,RUB
846223785,2026-04-21,765,107,10,155360,4,62144,0,0,14,9,100,34,RUB
846223804,2026-04-21,199,21,5,101000,2,40400,0,0,11,24,100,2,RUB
859094794,2026-04-21,149,4,0,0,0,0,0,0,3,0,0,1,RUB
859100406,2026-04-21,1488,173,17,583100,3,102900,0,0,12,10,100,46,RUB
859105127,2026-04-21,151,13,3,100500,2,67000,0,0,9,23,100,2,RUB
859126078,2026-04-21,248,6,0,0,0,0,0,0,2,0,0,3,RUB
876408553,2026-04-21,206,26,2,69002,1,34501,0,0,13,8,100,6,RUB
879041649,2026-04-21,406,38,3,102900,1,34300,0,0,9,8,100,7,RUB
879041650,2026-04-21,265,18,0,0,0,0,0,0,7,0,0,6,RUB
969101147,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-04-21,0,1,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-04-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-22,17,0,0,0,0,0,0,0,0,0,0,1,RUB
256286306,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256602878,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-22,540,27,0,0,0,0,0,0,5,0,0,16,RUB
270764754,2026-04-22,121,8,0,0,0,0,0,0,7,0,0,4,RUB
284082008,2026-04-22,62,2,0,0,0,0,0,0,3,0,0,0,RUB
293965031,2026-04-22,94,3,0,0,0,0,0,0,3,0,0,2,RUB
293986771,2026-04-22,87,0,0,0,0,0,0,0,0,0,0,8,RUB
320770642,2026-04-22,7,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-22,12,0,0,0,0,0,0,0,0,0,0,1,RUB
390144767,2026-04-22,61,10,1,29400,0,0,0,0,16,10,0,4,RUB
473709751,2026-04-22,23,4,1,51000,0,0,0,0,17,25,0,0,RUB
490317491,2026-04-22,6,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-22,158,8,0,0,0,0,0,0,5,0,0,3,RUB
523358338,2026-04-22,114,3,0,0,0,0,0,0,3,0,0,0,RUB
523358339,2026-04-22,128,11,0,0,0,0,0,0,9,0,0,8,RUB
535799733,2026-04-22,5,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-22,465,25,0,0,0,0,0,0,5,0,0,9,RUB
539825996,2026-04-22,244,8,0,0,0,0,0,0,3,0,0,10,RUB
539838210,2026-04-22,48,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-22,18,1,0,0,0,0,0,0,6,0,0,2,RUB
566938282,2026-04-22,22,1,0,0,0,0,0,0,5,0,0,1,RUB
566954273,2026-04-22,24,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-22,1040,168,20,322386,1,16119,1,16119,16,12,50,45,RUB
807108695,2026-04-22,4,0,0,0,0,0,0,0,0,0,0,1,RUB
807135461,2026-04-22,239,16,1,33200,1,33200,0,0,7,6,100,5,RUB
846223764,2026-04-22,539,58,8,92000,1,11500,0,0,11,14,100,21,RUB
846223785,2026-04-22,711,98,11,170896,1,15536,0,0,14,11,100,29,RUB
846223804,2026-04-22,184,18,3,61274,0,0,0,0,10,17,0,7,RUB
859094794,2026-04-22,96,5,0,0,0,0,0,0,5,0,0,0,RUB
859100406,2026-04-22,1260,135,9,308700,2,68600,1,34300,11,7,67,43,RUB
859105127,2026-04-22,144,14,0,0,0,0,0,0,10,0,0,2,RUB
859126078,2026-04-22,236,6,0,0,0,0,0,0,3,0,0,6,RUB
876408553,2026-04-22,121,12,0,0,0,0,0,0,10,0,0,3,RUB
879041649,2026-04-22,338,27,3,102900,2,68600,0,0,8,11,100,11,RUB
879041650,2026-04-22,221,19,0,0,0,0,0,0,9,0,0,4,RUB
969101147,2026-04-22,5,0,0,0,0,0,0,0,0,0,0,3,RUB
969251563,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-04-22,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-04-22,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-23,23,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256302010,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256600547,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256609438,2026-04-23,2,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-04-23,502,41,3,122802,0,0,0,0,8,7,0,7,RUB
270764754,2026-04-23,142,3,0,0,0,0,0,0,2,0,0,3,RUB
284082008,2026-04-23,102,2,0,0,0,0,0,0,2,0,0,1,RUB
293965031,2026-04-23,138,8,0,0,0,0,0,0,6,0,0,2,RUB
293986771,2026-04-23,69,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-04-23,11,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-23,21,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-04-23,28,0,0,0,0,0,0,0,0,0,0,1,RUB
473709751,2026-04-23,16,3,1,51000,0,0,0,0,19,33,0,0,RUB
490317491,2026-04-23,20,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-23,110,7,0,0,0,0,0,0,6,0,0,0,RUB
523358338,2026-04-23,133,0,0,0,0,0,0,0,0,0,0,2,RUB
523358339,2026-04-23,141,2,0,0,0,0,0,0,1,0,0,1,RUB
528993929,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
534738794,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-04-23,602,31,3,133500,0,0,0,0,5,10,0,13,RUB
539825996,2026-04-23,295,14,0,0,0,0,0,0,5,0,0,3,RUB
539838210,2026-04-23,43,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-04-23,65,2,1,50701,0,0,0,0,3,50,0,3,RUB
566938282,2026-04-23,29,2,0,0,0,0,0,0,7,0,0,1,RUB
566954273,2026-04-23,17,0,0,0,0,0,0,0,0,0,0,0,RUB
614130568,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
636124582,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-04-23,1017,167,29,467451,0,0,0,0,16,17,0,33,RUB
807108695,2026-04-23,10,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-04-23,202,18,0,0,0,0,0,0,9,0,0,8,RUB
846223764,2026-04-23,496,63,8,92000,0,0,0,0,13,13,0,20,RUB
846223785,2026-04-23,756,85,14,217504,0,0,0,0,11,16,0,25,RUB
846223804,2026-04-23,156,17,1,20874,0,0,0,0,11,6,0,8,RUB
859094794,2026-04-23,110,4,1,40279,0,0,0,0,4,25,0,1,RUB
859100406,2026-04-23,1346,132,6,205800,0,0,0,0,10,5,0,39,RUB
859105127,2026-04-23,207,17,0,0,0,0,0,0,8,0,0,4,RUB
859126078,2026-04-23,211,4,0,0,0,0,0,0,2,0,0,1,RUB
876408553,2026-04-23,384,40,2,69002,0,0,0,0,10,5,0,23,RUB
879041649,2026-04-23,366,35,1,34300,0,0,0,0,10,3,0,5,RUB
879041650,2026-04-23,282,22,2,68600,0,0,0,0,8,9,0,4,RUB
969101147,2026-04-23,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969264497,2026-04-23,2,2,0,0,0,0,0,0,100,0,0,0,RUB
969320622,2026-04-23,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-04-23,4,0,0,0,0,0,0,0,0,0,0,0,RUB
969320626,2026-04-23,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320627,2026-04-23,3,0,0,0,0,0,0,0,0,0,0,0,RUB
969320628,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320631,2026-04-23,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320633,2026-04-23,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-04-23,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-04-23,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-04-24,1,0,0,0,0,0,0,0,0,0,0,1,RUB
270762735,2026-04-24,80,2,0,0,0,0,0,0,3,0,0,4,RUB
270764754,2026-04-24,28,1,0,0,0,0,0,0,4,0,0,0,RUB
284082008,2026-04-24,17,0,0,0,0,0,0,0,0,0,0,0,RUB
293965031,2026-04-24,23,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-04-24,4,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-04-24,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-04-24,8,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-04-24,58,3,0,0,0,0,0,0,5,0,0,2,RUB
473709751,2026-04-24,4,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-04-24,8,0,0,0,0,0,0,0,0,0,0,0,RUB
523358338,2026-04-24,23,0,0,0,0,0,0,0,0,0,0,0,RUB
523358339,2026-04-24,14,0,0,0,0,0,0,0,0,0,0,1,RUB
539825994,2026-04-24,37,0,0,0,0,0,0,0,0,0,0,0,RUB
539825996,2026-04-24,20,0,0,0,0,0,0,0,0,0,0,0,RUB
539838210,2026-04-24,12,0,0,0,0,0,0,0,0,0,0,1,RUB
548929114,2026-04-24,3,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-04-24,4,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-04-24,7,0,0,0,0,0,0,0,0,0,0,0,RUB
