nmID,dt,openCardCount,addToCartCount,ordersCount,ordersSumRub,buyoutsCount,buyoutsSumRub,cancelCount,cancelSumRub,addToCartConversion,cartToOrderConversion,buyoutPercent,addToWishlist,currency
539838210,2026-05-17,50,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-17,19,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-05-17,37,0,0,0,0,0,0,0,0,0,0,0,RUB
566954273,2026-05-17,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-17,589,89,13,168883,9,116919,4,51964,15,15,69,26,RUB
807108695,2026-05-17,7,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-17,76,5,0,0,0,0,0,0,7,0,0,1,RUB
846223764,2026-05-17,259,38,9,81072,8,72064,1,9008,15,24,89,13,RUB
846223785,2026-05-17,376,47,4,49508,4,49508,0,0,13,9,100,8,RUB
846223804,2026-05-17,44,4,1,16834,0,0,0,0,9,25,0,0,RUB
859094794,2026-05-17,180,5,1,40500,1,40500,0,0,3,20,100,3,RUB
859100406,2026-05-17,602,66,5,171500,3,102900,0,0,11,8,100,15,RUB
859105127,2026-05-17,132,42,0,0,0,0,0,0,32,0,0,4,RUB
859126078,2026-05-17,178,11,0,0,0,0,0,0,6,0,0,7,RUB
876408553,2026-05-17,68,4,0,0,0,0,0,0,6,0,0,2,RUB
879041649,2026-05-17,619,75,2,69000,2,69000,0,0,12,3,100,15,RUB
879041650,2026-05-17,759,81,3,100503,2,67002,0,0,11,4,100,17,RUB
969101147,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969251563,2026-05-17,2,1,0,0,0,0,0,0,50,0,0,0,RUB
969320633,2026-05-17,2,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-17,44,4,0,0,0,0,0,0,9,0,0,0,RUB
999069062,2026-05-17,58,9,2,18000,1,9000,0,0,16,22,100,0,RUB
1011335069,2026-05-17,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-18,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-18,133,14,1,31500,1,31500,0,0,11,7,100,5,RUB
256302010,2026-05-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256609438,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-18,651,54,3,123600,3,123600,0,0,8,6,100,21,RUB
270764754,2026-05-18,168,19,1,35001,0,0,0,0,11,5,0,3,RUB
284082008,2026-05-18,22,1,0,0,0,0,0,0,5,0,0,0,RUB
293965031,2026-05-18,7,0,0,0,0,0,0,0,0,0,0,0,RUB
293981294,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-18,34,0,0,0,0,0,0,0,0,0,0,1,RUB
320770642,2026-05-18,10,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-18,4,0,0,0,0,0,0,0,0,0,0,0,RUB
475802252,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
478011257,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-18,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-18,92,14,0,0,0,0,0,0,15,0,0,4,RUB
523358338,2026-05-18,173,4,1,68000,1,68000,0,0,2,25,100,1,RUB
523358339,2026-05-18,114,19,1,47000,1,47000,0,0,17,5,100,2,RUB
539825994,2026-05-18,685,74,4,170000,3,127500,0,0,11,5,100,27,RUB
539825996,2026-05-18,379,18,0,0,0,0,0,0,5,0,0,7,RUB
539838210,2026-05-18,37,0,0,0,0,0,0,0,0,0,0,1,RUB
548929114,2026-05-18,23,0,0,0,0,0,0,0,0,0,0,1,RUB
566938282,2026-05-18,33,3,0,0,0,0,0,0,9,0,0,1,RUB
566954273,2026-05-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-18,678,100,14,181874,11,142901,1,12991,15,14,92,27,RUB
807108695,2026-05-18,9,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-18,64,5,0,0,0,0,0,0,8,0,0,5,RUB
846223764,2026-05-18,239,32,4,36032,2,18016,2,18016,13,13,50,7,RUB
846223785,2026-05-18,387,49,7,86639,6,74262,1,12377,13,14,86,17,RUB
846223804,2026-05-18,45,7,0,0,0,0,0,0,16,0,0,1,RUB
859094794,2026-05-18,161,78,0,0,0,0,0,0,48,0,0,2,RUB
859100406,2026-05-18,654,54,0,0,0,0,0,0,8,0,0,22,RUB
859105127,2026-05-18,120,16,1,33000,1,33000,0,0,13,6,100,3,RUB
859126078,2026-05-18,189,9,0,0,0,0,0,0,5,0,0,2,RUB
876408553,2026-05-18,53,8,2,69002,2,69002,0,0,15,25,100,3,RUB
879041649,2026-05-18,508,36,5,172500,3,103500,0,0,7,14,100,22,RUB
879041650,2026-05-18,635,77,5,167505,3,100503,0,0,12,6,100,16,RUB
969264497,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320635,2026-05-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-18,5,0,0,0,0,0,0,0,0,0,0,0,RUB
969320637,2026-05-18,2,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-18,206,22,1,9000,0,0,1,9000,11,5,0,3,RUB
999069062,2026-05-18,200,18,2,18000,1,9000,0,0,9,11,100,5,RUB
1044992327,2026-05-18,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-19,11,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-19,73,11,2,63000,0,0,0,0,15,18,0,1,RUB
256302010,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256593867,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256606412,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-19,699,51,2,82400,1,41200,0,0,7,4,100,18,RUB
270764754,2026-05-19,164,10,0,0,0,0,0,0,6,0,0,2,RUB
284082008,2026-05-19,23,2,0,0,0,0,0,0,9,0,0,2,RUB
293965031,2026-05-19,8,0,0,0,0,0,0,0,0,0,0,0,RUB
293986771,2026-05-19,37,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-19,11,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
390144967,2026-05-19,7,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-19,93,8,0,0,0,0,0,0,9,0,0,1,RUB
523358338,2026-05-19,168,5,0,0,0,0,0,0,3,0,0,5,RUB
523358339,2026-05-19,116,6,1,47000,1,47000,0,0,5,17,100,2,RUB
530096915,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
539825994,2026-05-19,659,52,3,127500,1,42500,0,0,8,6,100,13,RUB
539825996,2026-05-19,354,18,0,0,0,0,0,0,5,0,0,6,RUB
539838210,2026-05-19,51,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-19,12,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-19,31,6,0,0,0,0,0,0,19,0,0,0,RUB
566954273,2026-05-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-19,796,139,14,181874,9,116919,0,0,17,10,100,38,RUB
807108695,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
807135461,2026-05-19,69,6,2,63002,2,63002,0,0,9,33,100,2,RUB
846223764,2026-05-19,313,47,10,91040,7,64016,0,0,15,21,100,8,RUB
846223785,2026-05-19,412,47,5,61885,1,12377,1,12377,11,11,50,13,RUB
846223804,2026-05-19,43,5,0,0,0,0,0,0,12,0,0,0,RUB
859094794,2026-05-19,143,4,0,0,0,0,0,0,3,0,0,0,RUB
859100406,2026-05-19,631,77,6,205800,5,171500,0,0,12,8,100,13,RUB
859105127,2026-05-19,109,5,0,0,0,0,0,0,5,0,0,1,RUB
859126078,2026-05-19,198,15,0,0,0,0,0,0,8,0,0,5,RUB
876408553,2026-05-19,7,0,0,0,0,0,0,0,0,0,0,0,RUB
879041649,2026-05-19,517,41,3,104501,1,35501,0,0,8,7,100,9,RUB
879041650,2026-05-19,649,54,2,67502,2,67502,0,0,8,4,100,6,RUB
969101147,2026-05-19,2,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320630,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320634,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-19,5,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-19,275,40,2,15780,2,15780,0,0,15,5,100,11,RUB
999069062,2026-05-19,292,31,8,72000,5,45000,0,0,11,26,100,9,RUB
1011335071,2026-05-19,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-05-19,3,0,0,0,0,0,0,0,0,0,0,0,RUB
256036969,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-20,7,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-20,106,14,5,157500,2,63000,0,0,13,36,100,3,RUB
256302010,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-20,608,60,4,164800,4,164800,0,0,10,7,100,16,RUB
270764754,2026-05-20,119,2,0,0,0,0,0,0,2,0,0,2,RUB
284082008,2026-05-20,23,1,0,0,0,0,0,0,4,0,0,3,RUB
293965031,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,1,RUB
293986771,2026-05-20,30,0,0,0,0,0,0,0,0,0,0,0,RUB
320770642,2026-05-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144022,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
390144701,2026-05-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
390144767,2026-05-20,7,0,0,0,0,0,0,0,0,0,0,1,RUB
390144967,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
473439818,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
473709751,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
490317491,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
523358337,2026-05-20,82,7,1,59001,1,59001,0,0,9,14,100,2,RUB
523358338,2026-05-20,127,4,0,0,0,0,0,0,3,0,0,1,RUB
523358339,2026-05-20,144,5,0,0,0,0,0,0,3,0,0,1,RUB
539825994,2026-05-20,667,51,6,255000,3,127500,1,42500,8,12,75,13,RUB
539825996,2026-05-20,359,19,2,112800,2,112800,0,0,5,11,100,10,RUB
539838210,2026-05-20,40,0,0,0,0,0,0,0,0,0,0,0,RUB
548929114,2026-05-20,9,0,0,0,0,0,0,0,0,0,0,0,RUB
566938282,2026-05-20,33,3,0,0,0,0,0,0,9,0,0,0,RUB
566954273,2026-05-20,6,0,0,0,0,0,0,0,0,0,0,0,RUB
760090343,2026-05-20,687,115,19,246829,9,116919,1,12991,17,17,90,36,RUB
807135461,2026-05-20,85,4,0,0,0,0,0,0,5,0,0,3,RUB
846223764,2026-05-20,268,37,6,55200,2,18400,0,0,14,16,100,8,RUB
846223785,2026-05-20,377,58,10,123770,6,74262,1,12377,15,17,86,15,RUB
846223804,2026-05-20,99,13,0,0,0,0,0,0,13,0,0,1,RUB
859094794,2026-05-20,97,5,0,0,0,0,0,0,5,0,0,0,RUB
859100406,2026-05-20,738,76,7,240100,2,68600,1,34300,10,9,67,15,RUB
859105127,2026-05-20,99,6,0,0,0,0,0,0,6,0,0,5,RUB
859126078,2026-05-20,186,9,0,0,0,0,0,0,5,0,0,2,RUB
876408553,2026-05-20,9,0,0,0,0,0,0,0,0,0,0,1,RUB
879041649,2026-05-20,592,43,2,71002,2,71002,0,0,7,5,100,15,RUB
879041650,2026-05-20,671,82,2,68002,0,0,0,0,12,2,0,17,RUB
969101147,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320622,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320623,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320631,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
969320636,2026-05-20,2,0,0,0,0,0,0,0,0,0,0,0,RUB
999066625,2026-05-20,313,47,5,39450,3,23670,0,0,15,11,100,9,RUB
999069062,2026-05-20,204,28,7,63000,4,36000,0,0,14,25,100,5,RUB
1011335068,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335069,2026-05-20,3,0,0,0,0,0,0,0,0,0,0,0,RUB
1011335070,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
1044992327,2026-05-20,1,0,0,0,0,0,0,0,0,0,0,0,RUB
256267836,2026-05-21,4,0,0,0,0,0,0,0,0,0,0,0,RUB
256286306,2026-05-21,94,3,1,31500,0,0,0,0,3,33,0,3,RUB
256302010,2026-05-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264720068,2026-05-21,1,0,0,0,0,0,0,0,0,0,0,0,RUB
264722623,2026-05-21,4,0,0,0,0,0,0,0,0,0,0,0,RUB
270762735,2026-05-21,602,55,0,0,0,0,0,0,9,0,0,26,RUB
270764754,2026-05-21,190,4,1,35001,0,0,0,0,2,25,0,5,RUB
284082008,2026-05-21,55,1,1,48900,0,0,0,0,2,100,0,1,RUB
293965031,2026-05-21,3,0,0,0,0,0,0,0,0,0,0,0,RUB
